----- [cpwdeMacBook-Pro.local][Darwin][14.4.0] [2015-07-29 23:07:27] [服务器初始化结束] ----
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:20:14]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:20:14]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:20:14]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:20:57]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:20:57]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:21:39]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:21:39]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:21:56]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:21:57]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:21:57]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:21:57]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:21:57]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:21:57]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:21:57]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:21:57]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:21:57]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:22:03]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:22:03]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:22:22]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:22:22]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:22:55]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:22:56]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:22:56]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:22:56]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:22:56]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:22:56]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:22:56]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:22:56]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:22:56]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:23:03]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:23:04]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:23:04]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:23:04]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:23:04]  
